date,time,venue,field,division,team1,team2
06/27,10:30 AM,Vail – Athletic Field,Athletic,Grandmasters,Tivoli Brewery,Team 41
06/27,11:15 AM,Vail – Athletic Field,Athletic,Grandmasters,Tivoli Brewery,Team 8
06/27,12:00 PM,Vail – Athletic Field,Athletic,Grandmasters,Team 8,Team 41
06/27,8:00 AM,Vail – Ford Park,Ford - Field 1,Zenmasters,Silverbacks,Grateful Undead
06/27,8:45 AM,Vail – Ford Park,Ford - Field 1,Zenmasters,Grateful Undead,Los Abuelos
06/27,9:30 AM,Vail – Ford Park,Ford - Field 1,Zenmasters,Silverbacks,Los Abuelos
06/27,10:30 AM,Vail – Ford Park,Ford - Field 1,Grandmasters,Old Big Green,Bushwood
06/27,11:15 AM,Vail – Ford Park,Ford - Field 1,Grandmasters,Old Big Green,Graybirds
06/27,12:00 PM,Vail – Ford Park,Ford - Field 1,Grandmasters,Bushwood,Graybirds
06/27,12:45 PM,Vail – Ford Park,Ford - Field 1,Supermasters,Navy Old Goats,Elysian Brewery
06/27,1:30 PM,Vail – Ford Park,Ford - Field 1,Supermasters,Elysian Brewery,10th Mtn Whiskey
06/27,2:15 PM,Vail – Ford Park,Ford - Field 1,Supermasters,Navy Old Goats,10th Mtn Whiskey
06/27,8:00 AM,Vail – Ford Park,Ford - Ford 2,Zenmasters,Mr Boh,Middlebury
06/27,8:45 AM,Vail – Ford Park,Ford - Ford 2,Zenmasters,Navy Old Goats,Middlebury
06/27,9:30 AM,Vail – Ford Park,Ford - Ford 2,Zenmasters,Mr Boh,Navy Old Goats
06/27,10:30 AM,Vail – Ford Park,Ford - Ford 2,Grandmasters,Generals,Navy Grand Goats
06/27,11:15 AM,Vail – Ford Park,Ford - Ford 2,Grandmasters,Navy Grand Goats,Middlebury
06/27,12:00 PM,Vail – Ford Park,Ford - Ford 2,Grandmasters,Middlebury,Generals
06/27,12:45 PM,Vail – Mtn School,Vail Mountain School,Supermasters,Domewood,Outlaws
06/27,1:30 PM,Vail – Mtn School,Vail Mountain School,Supermasters,Old Birds,Laxgear/Silver Oysters
06/27,2:15 PM,Vail – Mtn School,Vail Mountain School,Supermasters,Outlaws,Old Birds
06/27,3:00 PM,Vail – Mtn School,Vail Mountain School,Supermasters,Laxgear/Silver Oysters,Domewood
06/27,3:45 PM,Vail – Mtn School,Vail Mountain School,Supermasters,Outlaws,Laxgear/Silver Oysters
06/27,4:30 PM,Vail – Mtn School,Vail Mountain School,Supermasters,Domewood,Old Birds
06/28,8:00 AM,Vail – Athletic Field,Athletic,Zenmasters,Pool A 3rd Place,Pool B 3rd Place
06/28,9:30 AM,Vail – Athletic Field,Athletic,Grandmasters,Pool A 3rd Place,Pool B 3rd Place
06/28,8:00 AM,Vail – Ford Park,Ford - Field 1,Zenmasters,Pool A 1st Place,Pool B 2nd Place
06/28,9:30 AM,Vail – Ford Park,Ford - Field 1,Grandmasters,Pool A 1st Place,Pool C 1st Place
06/28,11:00 AM,Vail – Ford Park,Ford - Field 1,Grandmasters,Pool A 2nd Place,Pool B 2nd Place
06/28,12:30 PM,Vail – Ford Park,Ford - Field 1,Supermasters,Conference A 1st Place,Conference B 2nd Place
06/28,2:00 PM,Vail – Ford Park,Ford - Field 1,Supermasters,Conference A 2nd Place,Conference B 1st Place
06/28,8:00 AM,Vail – Ford Park,Ford - Ford 2,Zenmasters,Pool B 1st Place,Pool A 2nd Place
06/28,9:30 AM,Vail – Ford Park,Ford - Ford 2,Grandmasters,Pool B 1st Place,Pool C 2nd Place
06/28,11:00 AM,Vail – Ford Park,Ford - Ford 2,Grandmasters,Bracket Loser B12,Pool C 3rd Place
06/28,12:30 PM,Vail – Ford Park,Ford - Ford 2,Supermasters,Conference A 3rd Place,Conference B 4th Place
06/28,2:00 PM,Vail – Ford Park,Ford - Ford 2,Supermasters,Conference A 3rd Place,Conference B 3rd Place
06/29,8:00 AM,Vail – Athletic Field,Athletic,Zenmasters,Unknown,Unknown
06/29,9:30 AM,Vail – Athletic Field,Athletic,Grandmasters,Pool A 2nd Place,Pool B 3rd Place
06/29,11:00 AM,Vail – Athletic Field,Athletic,Grandmasters,Pool A 2nd Place,Pool C 3rd Place
06/29,9:00 AM,Edwards (down-valley),EDW - Edwards 2,U19 Girls,10th Mountain,CO Command Carolina
06/29,11:20 AM,Edwards (down-valley),EDW - Edwards 2,U19 Girls,CO Command Navy,10th Mountain
06/29,1:00 PM,Edwards (down-valley),EDW - Edwards 2,U19 Girls,Hero's White,Houston Heat
